上海迪士尼乐园,中国,上海,冬季夜场票（标准票）,RMB299.00,本产品内所含的乐园门票为指定日票，入园时间为下午四点后。
上海迪士尼乐园,中国,上海,冬季夜场票（儿童/老年人）,RMB224.00,本产品内所含的乐园门票为指定日票，入园时间为下午四点后。
上海迪士尼乐园,中国,上海,1日票（标准票）,RMB575.00,本产品内所含的乐园门票为指定日票，入园时间为下午四点后。
上海迪士尼乐园,中国,上海,1日票（儿童/老年人）,RMB431.00,本产品内所含的乐园门票为指定日票，入园时间为下午四点后。
上海迪士尼乐园,中国,上海,2日票（标准票）,RMB1034.00,本产品内所含的乐园门票为指定日票，入园时间为下午四点后。
上海迪士尼乐园,中国,上海,2日票（儿童/老年人）,RMB774.00,本产品内所含的乐园门票为指定日票，入园时间为下午四点后。
上海迪士尼乐园,中国,上海,迪士尼礼宾服务（经典套装）,RMB690.00,游客在预定时须提供本人姓名，有效身份证件信息和手机号.
上海迪士尼乐园,中国,上海,迪士尼礼宾服务（豪华套装）,RMB990.00,游客在预定时须提供本人姓名，有效身份证件信息和手机号.
香港迪士尼乐园,中国,香港特別行政區,暢玩2日套票（標準門票）,港幣$699,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
香港迪士尼乐园,中国,香港特別行政區,暢玩2日套票（小童門票）,港幣$515,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
香港迪士尼乐园,中国,香港特別行政區,1日門票:普通日子（標準門票）,港幣$619,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
香港迪士尼乐园,中国,香港特別行政區,1日門票:普通日子（小童門票）,港幣$458,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
香港迪士尼乐园,中国,香港特別行政區,1日門票:普通日子（長者門票）,港幣$100,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
香港迪士尼乐园,中国,香港特別行政區,2日門票:普通日子（標準門票）,港幣$799,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
香港迪士尼乐园,中国,香港特別行政區,2日門票:普通日子（小童門票）,港幣$589,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
香港迪士尼乐园,中国,香港特別行政區,2日門票:普通日子（長者門票）,港幣$170,每位賓客每次使用2日門票進入樂園時須拍照或出示香港國際主題樂園有限公司不時規定的個人身份證明作核實用途。
奥兰多华特迪士尼乐园,美国,佛罗里达州,1日票（标准票）,$109,所有门票和选项不可转让和不可退款，不包括单独定价的活动/活动。
奥兰多华特迪士尼乐园,美国,佛罗里达州,2日票（标准票）,$202,所有门票和选项不可转让和不可退款，不包括单独定价的活动/活动。
奥兰多华特迪士尼乐园,美国,佛罗里达州,3日票（标准票）,$294,所有门票和选项不可转让和不可退款，不包括单独定价的活动/活动。
奥兰多华特迪士尼乐园,美国,佛罗里达州,4日票（标准票）,$372,所有门票和选项不可转让和不可退款，不包括单独定价的活动/活动。
奥兰多华特迪士尼乐园,美国,佛罗里达州,5日票（标准票）,$390,所有门票和选项不可转让和不可退款，不包括单独定价的活动/活动。
奥兰多华特迪士尼乐园,美国,佛罗里达州,6日票（标准票）,$402,所有门票和选项不可转让和不可退款，不包括单独定价的活动/活动。
奥兰多华特迪士尼乐园,美国,佛罗里达州,7日票（标准票）,$406,所有门票和选项不可转让和不可退款，不包括单独定价的活动/活动。
巴黎迪士尼乐园,法国,巴黎,MINI（成人票）,€46.00,门票不得出售或转让用于商业用途，门票不得转售。
巴黎迪士尼乐园,法国,巴黎,MINI（幼童票）,€43.00,门票不得出售或转让用于商业用途，门票不得转售。
巴黎迪士尼乐园,法国,巴黎,MAGIC（成人票）,€60.00,门票不得出售或转让用于商业用途，门票不得转售。
巴黎迪士尼乐园,法国,巴黎,MAGIC（幼童票）,€56.00,门票不得出售或转让用于商业用途，门票不得转售。
巴黎迪士尼乐园,法国,巴黎,SUPER MAGIC（成人票）,€69.00,门票不得出售或转让用于商业用途，门票不得转售。
巴黎迪士尼乐园,法国,巴黎,SUPER MAGIC（幼童票）,€64.00,门票不得出售或转让用于商业用途。门票不得转售。
东京迪士尼乐园,日本,东京,一日护照（成人票）,￥7400,若发现并确认有违反园区门票使用规则等销售规定，该被倒卖的园区门票将视为无效
东京迪士尼乐园,日本,东京,一日护照（学生票）,￥6400,若发现并确认有违反园区门票使用规则等销售规定，该被倒卖的园区门票将视为无效
东京迪士尼乐园,日本,东京,一日护照（儿童票）,￥4800,若发现并确认有违反园区门票使用规则等销售规定，该被倒卖的园区门票将视为无效
东京迪士尼乐园,日本,东京,星光护照（成人票）,￥5400,若发现并确认有违反园区门票使用规则等销售规定，该被倒卖的园区门票将视为无效
东京迪士尼乐园,日本,东京,星光护照（学生票）,￥4700,若发现并确认有违反园区门票使用规则等销售规定，该被倒卖的园区门票将视为无效
东京迪士尼乐园,日本,东京,星光护照（儿童票）,￥3500,若发现并确认有违反园区门票使用规则等销售规定，该被倒卖的园区门票将视为无效
加州迪士尼乐园,美国,加利福尼亚州,一日游,$135.00,门票不得出售或转让用于商业用途，门票不得转售。
加州迪士尼乐园,美国,加利福尼亚州,两日游,$105.00,门票不得出售或转让用于商业用途，门票不得转售。
加州迪士尼乐园,美国,加利福尼亚州,三日游,$93.34,门票不得出售或转让用于商业用途，门票不得转售。
加州迪士尼乐园,美国,加利福尼亚州,四日游,$76.25,门票不得出售或转让用于商业用途，门票不得转售。
加州迪士尼乐园,美国,加利福尼亚州,五日游,$64.00,门票不得出售或转让用于商业用途，门票不得转售。
